Country,Country Speed,Mirror Name,Protocols,Hostnames,Mirror Speed,Status
United States,400 Gbps,University of Utah,"http://ubuntu.cs.utah.edu/releases/, ftp://ubuntu.cs.utah.edu/ubuntu/releases/, rsync://ubuntu.cs.utah.edu/ubuntu-releases/",ubuntu.cs.utah.edu,10 Gbps,N/A
United States,400 Gbps,Fremont Cabal Internet Exchange,"https://solidrock.mm.fcix.net/ubuntu-releases/, http://solidrock.mm.fcix.net/ubuntu-releases/, rsync://solidrock.mm.fcix.net/ubuntu-releases/",solidrock.mm.fcix.net,10 Gbps,N/A
United States,400 Gbps,Fremont Cabal Internet Exchange,"https://volico.mm.fcix.net/ubuntu-releases/, http://volico.mm.fcix.net/ubuntu-releases/, rsync://volico.mm.fcix.net/ubuntu-releases/",volico.mm.fcix.net,10 Gbps,N/A
United States,400 Gbps,Fremont Cabal Internet Exchange,"https://ziply.mm.fcix.net/ubuntu-releases/, http://ziply.mm.fcix.net/ubuntu-releases/, rsync://ziply.mm.fcix.net/ubuntu-releases/",ziply.mm.fcix.net,10 Gbps,N/A
United States,400 Gbps,RustyTel,http://mirror.rustytel.net/ubuntu-releases/,mirror.rustytel.net,2 Gbps,N/A
United States,400 Gbps,Kernel.org,"http://mirrors.us.kernel.org/ubuntu-releases/, ftp://mirrors.us.kernel.org/ubuntu-releases/, rsync://mirrors.us.kernel.org/ubuntu-releases/",mirrors.us.kernel.org,2 Gbps,N/A
United States,400 Gbps,OSU Open Source Lab,"https://ubuntu.osuosl.org/releases/, http://ubuntu.osuosl.org/releases/, ftp://ubuntu.osuosl.org/pub/ubuntu-releases/, rsync://ubuntu.osuosl.org/ubuntu-releases/",ubuntu.osuosl.org,2 Gbps,N/A
United States,400 Gbps,Fremont Cabal Internet Exchange,"https://abqix.mm.fcix.net/ubuntu-releases/, http://abqix.mm.fcix.net/ubuntu-releases/, rsync://abqix.mm.fcix.net/ubuntu-releases/",abqix.mm.fcix.net,1 Gbps,N/A
United States,400 Gbps,Fremont Cabal Internet Exchange,"https://bungi.mm.fcix.net/ubuntu-releases/, http://bungi.mm.fcix.net/ubuntu-releases/, rsync://bungi.mm.fcix.net/ubuntu-releases/",bungi.mm.fcix.net,1 Gbps,N/A
United States,400 Gbps,Fremont Cabal Internet Exchange,"https://coresite.mm.fcix.net/ubuntu-releases/, http://coresite.mm.fcix.net/ubuntu-releases/, rsync://coresite.mm.fcix.net/ubuntu-releases/",coresite.mm.fcix.net,1 Gbps,N/A
United States,400 Gbps,Fremont Cabal Internet Exchange,"https://lolhost.mm.fcix.net/ubuntu-releases/, http://lolhost.mm.fcix.net/ubuntu-releases/, rsync://lolhost.mm.fcix.net/ubuntu-releases/",lolhost.mm.fcix.net,1 Gbps,N/A
United States,400 Gbps,Clarkson University,"https://mirror.clarkson.edu/ubuntu-releases/, http://mirror.clarkson.edu/ubuntu-releases/, rsync://mirror.clarkson.edu/ubuntu-releases/",mirror.clarkson.edu,1 Gbps,N/A
United States,400 Gbps,James Madison University Department of Computer Science,"https://mirror.cs.jmu.edu/pub/ubuntu-iso/, http://mirror.cs.jmu.edu/pub/ubuntu-iso/",mirror.cs.jmu.edu,1 Gbps,N/A
United States,400 Gbps,MetroCast Cablevision,http://mirror.metrocast.net/ubuntu-releases/,mirror.metrocast.net,1 Gbps,N/A
United States,400 Gbps,Nexcess,"https://mirror.nexcess.net/ubuntu-releases/, http://mirror.nexcess.net/ubuntu-releases/, ftp://mirror.nexcess.net/ubuntu-releases/",mirror.nexcess.net,1 Gbps,N/A
United States,400 Gbps,Steadfast Networks,"https://mirror.steadfastnet.com/ubuntu-releases/, http://mirror.steadfastnet.com/ubuntu-releases/, rsync://mirror.steadfastnet.com/ubuntu-releases/",mirror.steadfastnet.com,1 Gbps,N/A
United States,400 Gbps,Kamatera Inc.,http://mirror.us-sc.kamatera.com/ubuntu-releases/,mirror.us-sc.kamatera.com,1 Gbps,N/A
United States,400 Gbps,Kamatera Inc.,http://mirror.us-tx.kamatera.com/ubuntu-releases/,mirror.us-tx.kamatera.com,1 Gbps,N/A
United States,400 Gbps,Wayne State University,"https://mirror.wayne.edu/ubuntu/releases/, http://mirror.wayne.edu/ubuntu/releases/, ftp://mirror.wayne.edu/ubuntu/releases/",mirror.wayne.edu,1 Gbps,N/A
