Country,Country Speed,Mirror Name,Protocols,Hostnames,Mirror Speed,Status
Singapore,206 Gbps,TI Mirrors - Ubuntu Ports,"https://mirror.coganng.com/ubuntu-ports/, http://mirror.coganng.com/ubuntu-ports/, ftp://mirror.coganng.com/ubuntu-ports/, rsync://mirror.coganng.com/ubuntu-ports/",mirror.coganng.com,1 Gbps,Up to date
Singapore,206 Gbps,MVIZN PTE. LTD.,"https://mirror.mvizn.com/ubuntu/, http://mirror.mvizn.com/ubuntu/",mirror.mvizn.com,1 Gbps,Up to date
Singapore,206 Gbps,National University of Singapore (School of Computing - Siglabs),"http://mirror.nus.edu.sg/ubuntu/, ftp://mirror.nus.edu.sg/ubuntu/",mirror.nus.edu.sg,1 Gbps,Last update unknown
Slovakia,31 Gbps,"VNET,a.s.","https://mirror.vnet.sk/ubuntu/, http://mirror.vnet.sk/ubuntu/, rsync://mirror.vnet.sk/ubuntu/",mirror.vnet.sk,20 Gbps,Up to date
Slovakia,31 Gbps,"Energotel, a.s.","http://ftp.energotel.sk/pub/linux/ubuntu/, ftp://ftp.energotel.sk/pub/linux/ubuntu/",ftp.energotel.sk,10 Gbps,Up to date
Slovakia,31 Gbps,Rainside,"http://tux.rainside.sk/ubuntu/, ftp://tux.rainside.sk/ubuntu/",tux.rainside.sk,1 Gbps,Last update unknown
Slovenia,100 Mbps,Arnes,"http://ftp.arnes.si/pub/mirrors/ubuntu/, ftp://ftp.arnes.si/mirrors/ubuntu/",ftp.arnes.si,100 Mbps,Up to date
South Africa,2 Gbps,HOSTAFRICA,http://mirror.hostafrica.co.za/ubuntu/,mirror.hostafrica.co.za,1 Gbps,Up to date
South Africa,2 Gbps,Rain,http://ubuntu.mirror.rain.co.za/ubuntu/,ubuntu.mirror.rain.co.za,1 Gbps,Up to date
Spain,20 Gbps,Raiola Networks,"http://mirror.raiolanetworks.com/ubuntu/, rsync://mirror.raiolanetworks.com/pub/ubuntu/",mirror.raiolanetworks.com,10 Gbps,Up to date
Spain,20 Gbps,Oficina de Software Libre - CIXUG,"http://ftp.udc.es/ubuntu/, ftp://ftp.udc.es/ubuntu/, rsync://rsync.udc.es/ubuntu/","ftp.udc.es, rsync.udc.es",2 Gbps,Up to date
Spain,20 Gbps,Laboratorios Docentes Linux EIF - URJC (Universidad Rey Juan Carlos),https://labs.eif.urjc.es/mirror/ubuntu/,labs.eif.urjc.es,2 Gbps,Up to date
Spain,20 Gbps,CICA,"http://ubuntu.cica.es/ubuntu/, ftp://ubuntu.cica.es/ubuntu/, rsync://ubuntu.cica.es/ubuntu/",ubuntu.cica.es,2 Gbps,Last update unknown
Spain,20 Gbps,Caliu,http://ftp.caliu.cat/pub/distribucions/ubuntu/archive/,ftp.caliu.cat,1 Gbps,Up to date
Spain,20 Gbps,CSUC,"https://ftp.csuc.cat/ubuntu/archive/, http://ftp.csuc.cat/ubuntu/archive/, ftp://ftp.csuc.cat/ubuntu/archive/, rsync://ftp.csuc.cat/ubuntu/archive/",ftp.csuc.cat,1 Gbps,Up to date
Spain,20 Gbps,Universidad de Zaragoza,"http://softlibre.unizar.es/ubuntu/archive/, ftp://softlibre.unizar.es/ubuntu/archive/",softlibre.unizar.es,1 Gbps,Up to date
Spain,20 Gbps,Universidade de Vigo,"https://ubuntu.uvigo.es/, http://ubuntu.uvigo.es/, ftp://ftp.uvigo.es/ubuntu/","ftp.uvigo.es, ubuntu.uvigo.es",1 Gbps,Up to date
Spain,20 Gbps,DAFI de la Universidad de Murcia,"http://dafi.inf.um.es/ubuntu/, ftp://dafi.inf.um.es/ubuntu/",dafi.inf.um.es,100 Mbps,Up to date
Spain,20 Gbps,GRN Serveis telemàtics,"http://ubuntu.grn.cat/ubuntu/, ftp://ubuntu.grn.cat/ubuntu/",ubuntu.grn.cat,100 Mbps,Up to date
Sweden,42 Gbps,"Academic Computer Club, Umeå University","http://ftp.acc.umu.se/ubuntu/, ftp://ftp.acc.umu.se/ubuntu/, rsync://ftp.acc.umu.se/ubuntu/",ftp.acc.umu.se,20 Gbps,Up to date
Sweden,42 Gbps,LULEÅ HÖGSKOLAS DATORFÖRENING /LUDD/,"https://ftp.ludd.ltu.se/mirrors/ubuntu/, http://ftp.ludd.ltu.se/mirrors/ubuntu/, rsync://ftp.ludd.ltu.se/ubuntu/",ftp.ludd.ltu.se,10 Gbps,Up to date
Sweden,42 Gbps,Bahnhof,"https://mirror.bahnhof.net/ubuntu/, http://mirror.bahnhof.net/ubuntu/, ftp://mirror.bahnhof.net/ubuntu/, rsync://mirror.bahnhof.net/ubuntu/",mirror.bahnhof.net,10 Gbps,Up to date
Sweden,42 Gbps,Lysator,"http://ftp.lysator.liu.se/ubuntu/, ftp://ftp.lysator.liu.se/ubuntu/, rsync://ftp.lysator.liu.se/ubuntu/",ftp.lysator.liu.se,1 Gbps,Up to date
Sweden,42 Gbps,Nordlo Group AB,"https://mirror.improve.nordlo.cloud/ubuntu/, http://mirror.improve.nordlo.cloud/ubuntu/",mirror.improve.nordlo.cloud,1 Gbps,Up to date
Sweden,42 Gbps,Infania Networks,"https://ftpmirror1.infania.net/ubuntu/, http://ftpmirror1.infania.net/ubuntu/, ftp://ftpmirror1.infania.net/ubuntu/, rsync://ftpmirror1.infania.net/ubuntu/",ftpmirror1.infania.net,100 Mbps,Up to date
Switzerland,185 Gbps,Swiss Innovative Arts and Technology Institute,"https://mirror.siati.ch/ubuntu-archive/, http://mirror.siati.ch/ubuntu-archive/",mirror.siati.ch,100 Gbps,Up to date
